date,prediction,actual,correct,confidence
2025-01-03,1,1,1,0.9639
2025-01-06,1,1,1,0.8923
2025-01-07,1,0,0,0.9704
2025-01-08,1,1,1,0.9949
2025-01-10,1,0,0,0.9782
2025-01-13,1,1,1,0.9649
2025-01-14,1,1,1,0.9402
2025-01-15,1,1,1,0.9762
2025-01-16,1,0,0,0.9276
2025-01-17,1,1,1,0.9749
2025-01-21,1,1,1,0.961
2025-01-22,1,1,1,0.9729
2025-01-23,1,1,1,0.8972
2025-01-24,1,0,0,0.8646
2025-01-27,1,0,0,0.8345
2025-01-28,1,1,1,0.9815
2025-01-29,1,0,0,0.9998
2025-01-30,1,1,1,1.0
2025-01-31,1,0,0,0.9999
2025-02-03,1,0,0,1.0
2025-02-04,1,1,1,0.9997
2025-02-05,1,1,1,0.9998
2025-02-06,1,1,1,0.9997
2025-02-07,1,0,0,0.9979
2025-02-10,1,1,1,0.9999
2025-02-11,1,1,1,0.9925
2025-02-12,1,0,0,0.9978
2025-02-13,1,1,1,0.9977
2025-02-14,0,0,1,0.9388
2025-02-18,0,1,0,0.995
2025-02-19,0,1,0,0.9838
2025-02-20,0,0,1,0.9966
2025-02-21,0,0,1,0.9904
2025-02-24,0,0,1,0.9812
2025-02-25,0,0,1,0.9812
2025-02-26,0,1,0,0.9372
2025-02-27,0,0,1,0.7727
2025-02-28,0,1,0,0.5053
2025-03-03,0,0,1,0.8063
2025-03-04,1,0,0,0.5853
2025-03-05,1,1,1,0.52
2025-03-06,1,0,0,0.6601
2025-03-07,1,1,1,0.6785
2025-03-10,1,0,0,0.7583
2025-03-11,1,0,0,0.8236
2025-03-12,1,1,1,0.8592
2025-03-13,1,0,0,0.9104
2025-03-14,1,1,1,0.9207
2025-03-17,1,1,1,0.9483
2025-03-18,1,0,0,0.9886
2025-03-19,1,1,1,0.9906
2025-03-20,1,0,0,0.9784
2025-03-21,1,1,1,0.9656
2025-03-24,1,1,1,0.9917
2025-03-25,1,1,1,0.9731
2025-03-26,1,0,0,0.935
2025-03-27,1,0,0,0.99
2025-03-28,1,0,0,0.9294
2025-03-31,1,1,1,0.9859
2025-04-01,1,1,1,0.9471
2025-04-02,1,1,1,0.9771
2025-04-03,1,0,0,0.9735
2025-04-04,1,0,0,0.9851
2025-04-07,1,0,0,0.9754
2025-04-08,1,0,0,0.9729
2025-04-09,1,1,1,0.9866
2025-04-10,1,0,0,0.9989
2025-04-11,1,1,1,0.9639
2025-04-14,1,1,1,0.9627
2025-04-15,1,0,0,0.9942
2025-04-16,1,0,0,0.9239
2025-04-17,1,1,1,0.9722
2025-04-21,1,0,0,0.9584
2025-04-22,1,1,1,0.9817
2025-04-23,1,1,1,0.9515
2025-04-24,1,1,1,0.9986
2025-04-25,1,1,1,0.9834
2025-04-28,1,1,1,0.9058
2025-04-29,1,1,1,0.9778
2025-04-30,1,1,1,0.7588
2025-05-01,1,1,1,0.9822
2025-05-02,1,1,1,0.9475
2025-05-05,1,0,0,0.8238
2025-05-06,1,0,0,0.5112
2025-05-07,0,1,0,0.5125
2025-05-08,1,1,1,0.9474
2025-05-09,1,0,0,0.999
2025-05-12,1,1,1,0.9995
2025-05-13,0,1,0,0.8084
2025-05-14,1,1,1,0.5368
2025-05-15,1,1,1,0.7521
2025-05-16,1,1,1,0.5904
2025-05-19,0,1,0,0.5956
2025-05-20,1,0,0,0.5002
2025-05-21,1,0,0,0.742
2025-05-22,1,0,0,0.7556
2025-05-23,1,0,0,0.9448
2025-05-27,1,1,1,0.8583
2025-05-28,1,0,0,0.702
2025-05-29,1,1,1,0.981
2025-05-30,1,0,0,0.6799
2025-06-02,1,1,1,0.8486
2025-06-03,1,1,1,0.8336
2025-06-04,1,1,1,0.5244
2025-06-05,1,0,0,0.6724
2025-06-06,1,1,1,0.5969
2025-06-09,1,1,1,0.5283
2025-06-10,1,1,1,0.6278
2025-06-11,0,0,1,0.5845
2025-06-12,1,1,1,0.538
2025-06-13,0,0,1,0.7287
2025-06-16,0,1,0,0.6337
2025-06-17,0,0,1,0.5408
2025-06-18,1,0,0,0.8386
2025-06-20,1,0,0,0.6919
2025-06-23,1,1,1,0.7641
2025-06-24,1,1,1,0.863
2025-06-25,1,0,0,0.5472
2025-06-26,1,1,1,0.9857
2025-06-27,0,1,0,0.7946
2025-06-30,0,1,0,0.9293
2025-07-01,1,0,0,0.724
2025-07-02,0,1,0,0.759
2025-07-03,0,1,0,0.7149
2025-07-07,0,0,1,0.8248
2025-07-08,1,0,0,0.6943
2025-07-09,1,1,1,0.6031
2025-07-10,0,1,0,0.5616
2025-07-11,0,0,1,0.7499
2025-07-14,1,1,1,0.6401
2025-07-15,1,0,0,0.5426
2025-07-16,1,1,1,0.6297
2025-07-17,1,1,1,0.735
2025-07-18,1,0,0,0.5211
2025-07-21,1,1,1,0.6445
2025-07-22,0,1,0,0.5655
2025-07-23,1,1,1,0.5981
2025-07-24,0,1,0,0.7592
2025-07-25,1,1,1,0.6901
2025-07-28,1,1,1,0.5062
2025-07-29,1,0,0,0.5196
2025-07-30,0,0,1,0.6062
2025-07-31,1,0,0,0.5872
2025-08-01,1,0,0,0.7382
2025-08-04,1,1,1,0.7238
2025-08-05,1,0,0,0.9986
2025-08-06,1,1,1,0.9988
2025-08-07,1,0,0,0.9777
2025-08-08,1,1,1,0.9986
2025-08-11,1,0,0,0.9599
2025-08-12,0,1,0,0.8445
2025-08-13,0,1,0,0.9069
2025-08-14,1,1,1,0.9981
2025-08-15,1,0,0,0.9966
2025-08-18,1,0,0,0.9892
2025-08-19,1,0,0,0.9961
2025-08-20,1,0,0,0.6772
2025-08-21,1,0,0,0.7103
2025-08-22,0,1,0,0.6544
2025-08-25,1,0,0,0.9912
2025-08-26,1,1,1,0.999
2025-08-27,0,1,0,0.9392
2025-08-28,0,1,0,0.6432
2025-08-29,0,0,1,0.9537
2025-09-02,0,0,1,0.8936
2025-09-03,1,1,1,0.9532
2025-09-04,0,1,0,0.9773
2025-09-05,0,0,1,0.987
2025-09-08,0,1,0,0.8672
2025-09-09,0,1,0,0.8436
2025-09-10,0,1,0,0.9497
2025-09-11,0,1,0,0.9451
2025-09-12,0,0,1,0.9809
2025-09-15,1,1,1,0.7266
2025-09-16,0,0,1,0.7491
2025-09-17,1,0,0,0.6691
2025-09-18,0,1,0,0.6902
2025-09-19,0,1,0,0.5344
2025-09-22,0,1,0,0.8244
2025-09-23,1,0,0,0.7875
2025-09-24,1,0,0,0.7293
2025-09-25,1,0,0,0.8842
2025-09-26,1,1,1,0.9813
2025-09-29,1,1,1,0.9605
2025-09-30,1,1,1,0.9921
2025-10-01,1,1,1,0.5468
2025-10-02,0,1,0,0.6546
2025-10-03,1,1,1,0.6896
2025-10-06,1,1,1,0.6867
2025-10-07,1,0,0,0.7682
2025-10-08,1,1,1,0.6558
2025-10-09,1,0,0,0.7811
2025-10-10,0,0,1,0.6937
2025-10-13,1,1,1,0.7215
2025-10-14,0,0,1,0.9758
2025-10-15,0,1,0,0.9729
2025-10-16,1,0,0,0.9053
2025-10-17,1,1,1,0.8533
2025-10-20,0,1,0,0.9883
2025-10-21,1,1,1,0.9996
2025-10-22,0,0,1,0.5966
2025-10-23,1,1,1,0.7813
2025-10-24,0,1,0,0.7947
2025-10-27,1,1,1,0.9867
2025-10-28,0,1,0,0.7643
2025-10-29,1,0,0,0.982
2025-10-30,1,0,0,0.988
2025-10-31,1,1,1,0.9147
2025-11-03,1,1,1,0.8688
2025-11-04,1,0,0,0.9798
2025-11-05,1,1,1,0.9751
2025-11-06,0,0,1,0.7368
2025-11-07,1,1,1,0.9976
2025-11-10,0,1,0,0.5579
2025-11-11,1,1,1,0.9955
2025-11-12,0,1,0,0.5379
2025-11-13,1,0,0,0.9424
2025-11-14,0,0,1,0.7622
2025-11-17,0,0,1,0.9319
2025-11-18,1,0,0,0.9585
2025-11-19,1,1,1,0.9626
2025-11-20,1,0,0,0.9934
2025-11-21,1,1,1,0.9984
2025-11-24,1,1,1,0.9237
2025-11-25,1,1,1,0.974
2025-11-26,1,1,1,0.9953
2025-11-28,1,1,1,0.9966
2025-12-01,1,0,0,0.9865
2025-12-02,1,1,1,0.9802
2025-12-03,1,1,1,0.9965
